# Obtained using Skycalc tool from ESO webpage
# Not including telescope emissivity
Wave[nm] Transmission[no-units]
1247.34647 0.979272
1247.43955 0.979164
1247.53263 0.979112
1247.62572 0.979128
1247.71881 0.979102
1247.81192 0.979022
1247.90503 0.978749
1247.99814 0.977002
1248.09127 0.974015
1248.1844 0.974269
1248.27753 0.977014
1248.37068 0.978417
1248.46383 0.978583
1248.55699 0.978517
1248.65015 0.978402
1248.74333 0.9783
1248.83651 0.978307
1248.92969 0.978287
1249.02289 0.978235
1249.11609 0.978179
1249.20929 0.978121
1249.30251 0.978046
1249.39573 0.977465
1249.48896 0.973717
1249.58219 0.969317
1249.67543 0.973204
1249.76868 0.976992
1249.86194 0.977619
1249.9552 0.977563
1250.04847 0.977423
1250.14175 0.97732
1250.23503 0.977289
1250.32832 0.977257
1250.42162 0.977184
1250.51492 0.977087
1250.60824 0.976956
1250.70155 0.976826
1250.79488 0.976783
1250.88821 0.975935
1250.98155 0.9697
1251.0749 0.962102
1251.16825 0.968256
1251.26161 0.974908
1251.35498 0.976306
1251.44835 0.976344
1251.54173 0.976243
1251.63512 0.976078
1251.72852 0.97576
1251.82192 0.975523
1251.91533 0.975666
1252.00875 0.975749
1252.10217 0.975681
1252.1956 0.975595
1252.28904 0.975526
1252.38248 0.975355
1252.47593 0.973536
1252.56939 0.962848
1252.66285 0.951324
1252.75632 0.96308
1252.8498 0.973307
1252.94329 0.974739
1253.03678 0.974741
1253.13028 0.974653
1253.22379 0.974536
1253.3173 0.974411
1253.41082 0.97431
1253.50435 0.974209
1253.59789 0.974027
1253.69143 0.973775
1253.78498 0.973693
1253.87853 0.973706
1253.97209 0.972672
1254.06566 0.964868
1254.15924 0.948543
1254.25282 0.945526
1254.34641 0.961898
1254.44001 0.971582
1254.53362 0.972828
1254.62723 0.972798
1254.72085 0.972659
1254.81447 0.972498
1254.9081 0.972397
1255.00174 0.972326
1255.09539 0.972203
1255.18904 0.97205
1255.2827 0.971891
1255.37637 0.971466
1255.47004 0.970954
1255.56373 0.970668
1255.65741 0.965886
1255.75111 0.945089
1255.84481 0.927118
1255.93852 0.94968
1256.03224 0.968058
1256.12596 0.970581
1256.21969 0.970293
1256.31343 0.969938
1256.40717 0.970048
1256.50092 0.970058
1256.59468 0.969849
