# Obtained using Skycalc tool from ESO webpage
# Water vapour content 2.5 mm
Wave[nm] Transmission[no-units]
2128.78558 0.994516
2128.81867 0.994009
2128.85175 0.993096
2128.88484 0.991551
2128.91792 0.989921
2128.95101 0.991406
2128.9841 0.993541
2129.01719 0.994247
2129.05027 0.994035
2129.08336 0.993831
2129.11645 0.994259
2129.14954 0.994686
2129.18263 0.994812
2129.21572 0.994733
2129.24881 0.994396
2129.28191 0.993966
2129.315 0.994059
2129.34809 0.994427
2129.38119 0.994588
2129.41428 0.994502
2129.44737 0.993722
2129.48047 0.99191
2129.51356 0.990961
2129.54666 0.99235
2129.57976 0.993349
2129.61285 0.993872
2129.64595 0.994489
2129.67905 0.994825
2129.71215 0.994936
2129.74525 0.994988
2129.77835 0.995012
2129.81145 0.995007
2129.84455 0.994968
2129.87765 0.994928
2129.91075 0.99492
2129.94385 0.99489
2129.97696 0.994727
2130.01006 0.994062
2130.04316 0.992254
2130.07627 0.99064
2130.10937 0.991839
2130.14248 0.993783
2130.17558 0.994625
2130.20869 0.994811
2130.2418 0.994823
2130.2749 0.994671
2130.30801 0.994264
2130.34112 0.99397
2130.37423 0.994361
2130.40734 0.994732
2130.44045 0.994793
2130.47356 0.994726
2130.50667 0.994473
2130.53978 0.993708
2130.57289 0.992554
2130.606 0.992066
2130.63912 0.991862
2130.67223 0.991383
2130.70534 0.992568
2130.73846 0.993947
2130.77157 0.994334
2130.80469 0.994013
2130.83781 0.99372
2130.87092 0.994184
2130.90404 0.994488
2130.93716 0.994441
2130.97028 0.99464
2131.00339 0.994808
2131.03651 0.994629
2131.06963 0.994205
2131.10275 0.994091
2131.13587 0.994296
2131.169 0.994353
2131.20212 0.994308
2131.23524 0.993484
2131.26836 0.992423
2131.30149 0.99316
2131.33461 0.99433
2131.36773 0.994805
2131.40086 0.994912
2131.43398 0.994918
2131.46711 0.994929
2131.50024 0.994931
2131.53336 0.99485
2131.56649 0.994568
2131.59962 0.994194
2131.63275 0.994305
2131.66588 0.994689
2131.699 0.994904
2131.73213 0.994932
2131.76527 0.994805
2131.7984 0.994286
2131.83153 0.993141
2131.86466 0.992226
2131.89779 0.992693
2131.93093 0.993679
2131.96406 0.994137
2131.99719 0.994478
2132.03033 0.994787
2132.06346 0.994925
2132.0966 0.994938
2132.12973 0.994874
2132.16287 0.99474
2132.19601 0.994573
2132.22915 0.994458
2132.26228 0.994317
2132.29542 0.994141
2132.32856 0.993794
2132.3617 0.993273
2132.39484 0.993377
2132.42798 0.993769
2132.46112 0.993382
2132.49427 0.992837
2132.52741 0.993491
2132.56055 0.994052
2132.5937 0.994086
2132.62684 0.994386
2132.65998 0.99473
2132.69313 0.994866
2132.72627 0.994856
2132.75942 0.994592
2132.79257 0.993566
2132.82571 0.992098
2132.85886 0.992235
2132.89201 0.993672
2132.92516 0.994582
2132.95831 0.994832
2132.99146 0.994866
2133.02461 0.994751
2133.05776 0.994245
2133.09091 0.993468
2133.12406 0.993341
2133.15721 0.993666
2133.19036 0.993911
2133.22352 0.994339
2133.25667 0.994728
2133.28982 0.994844
2133.32298 0.994635
2133.35613 0.994292
2133.38929 0.994309
2133.42245 0.994533
2133.4556 0.994773
2133.48876 0.994923
2133.52192 0.994978
2133.55508 0.994945
2133.58824 0.994861
2133.6214 0.994766
2133.65456 0.994563
2133.68772 0.994062
2133.72088 0.993481
2133.75404 0.99376
2133.7872 0.994382
2133.82036 0.994761
2133.85353 0.99492
2133.88669 0.994925
2133.91985 0.994839
2133.95302 0.99468
2133.98618 0.99446
2134.01935 0.994531
2134.05251 0.994722
2134.08568 0.994513
2134.11885 0.99393
2134.15201 0.993843
2134.18518 0.994446
2134.21835 0.994854
2134.25152 0.994892
2134.28469 0.994765
2134.31786 0.994382
2134.35103 0.993941
2134.3842 0.994255
2134.41737 0.994759
2134.45055 0.99496
2134.48372 0.995021
2134.51689 0.99505
2134.55007 0.99504
2134.58324 0.99497
2134.61642 0.994893
2134.64959 0.994935
2134.68277 0.995011
2134.71594 0.995021
2134.74912 0.994923
2134.7823 0.99466
2134.81547 0.994455
2134.84865 0.994577
2134.88183 0.994567
2134.91501 0.994404
2134.94819 0.994231
2134.98137 0.993956
2135.01455 0.994202
2135.04773 0.994685
2135.08092 0.994911
2135.1141 0.994953
2135.14728 0.994964
2135.18047 0.994979
2135.21365 0.99498
2135.24683 0.994955
2135.28002 0.994881
2135.31321 0.994751
2135.34639 0.994687
2135.37958 0.994739
2135.41277 0.994769
2135.44595 0.994722
2135.47914 0.994641
2135.51233 0.994539
2135.54552 0.99435
2135.57871 0.993919
2135.6119 0.993119
2135.64509 0.992361
2135.67828 0.992002
2135.71147 0.991246
2135.74467 0.988856
2135.77786 0.983916
2135.81105 0.973716
2135.84425 0.957463
2135.87744 0.951606
2135.91063 0.96656
2135.94383 0.981856
2135.97703 0.988396
2136.01022 0.990073
2136.04342 0.988843
2136.07662 0.98565
2136.10982 0.984454
2136.14301 0.987836
2136.17621 0.991457
2136.20941 0.993157
2136.24261 0.993648
2136.27581 0.993696
2136.30901 0.993942
2136.34222 0.994231
2136.37542 0.994357
2136.40862 0.994347
2136.44182 0.994225
2136.47503 0.994218
2136.50823 0.994544
2136.54144 0.994816
2136.57464 0.994919
2136.60785 0.99496
2136.64105 0.994977
2136.67426 0.994973
2136.70747 0.994918
2136.74068 0.994806
2136.77388 0.994664
2136.80709 0.99423
2136.8403 0.992749
2136.87351 0.991309
2136.90672 0.992597
2136.93993 0.994036
2136.97314 0.994593
2137.00636 0.99482
2137.03957 0.994904
2137.07278 0.994875
2137.106 0.994756
2137.13921 0.994524
2137.17242 0.993484
2137.20564 0.991293
2137.23885 0.990054
2137.27207 0.991151
2137.30529 0.992669
2137.3385 0.992886
2137.37172 0.991451
2137.40494 0.990384
2137.43816 0.990865
2137.47138 0.991549
2137.5046 0.992082
2137.53782 0.993345
2137.57104 0.994251
2137.60426 0.994535
2137.63748 0.994696
2137.6707 0.994707
2137.70393 0.99461
2137.73715 0.994558
2137.77037 0.994511
2137.8036 0.994644
2137.83682 0.994776
2137.87005 0.994888
2137.90327 0.994963
2137.9365 0.995007
2137.96973 0.995005
2138.00296 0.994921
2138.03618 0.994661
2138.06941 0.994362
2138.10264 0.994417
2138.13587 0.994598
2138.1691 0.994711
2138.20233 0.994737
2138.23556 0.994703
2138.26879 0.994605
2138.30203 0.9946
2138.33526 0.99463
2138.36849 0.994449
2138.40172 0.99382
2138.43496 0.992201
2138.46819 0.990187
2138.50143 0.989961
2138.53466 0.991397
2138.5679 0.993169
2138.60114 0.994213
2138.63437 0.994637
2138.66761 0.994736
2138.70085 0.994576
2138.73409 0.994446
2138.76733 0.994657
2138.80057 0.994784
2138.83381 0.994655
2138.86705 0.994541
2138.90029 0.994486
2138.93353 0.994023
2138.96678 0.993349
2139.00002 0.993396
2139.03326 0.994081
2139.06651 0.994573
2139.09975 0.994681
2139.133 0.994606
2139.16624 0.994359
2139.19949 0.993433
2139.23273 0.991965
2139.26598 0.991729
2139.29923 0.993091
2139.33248 0.994178
2139.36573 0.994483
2139.39897 0.994258
2139.43222 0.993721
2139.46547 0.993492
2139.49872 0.993955
2139.53198 0.994243
2139.56523 0.993845
2139.59848 0.992029
2139.63173 0.989071
2139.66499 0.989432
2139.69824 0.992309
2139.73149 0.993841
2139.76475 0.994373
2139.798 0.994586
2139.83126 0.994569
2139.86452 0.994255
2139.89777 0.993654
2139.93103 0.992679
2139.96429 0.99166
2139.99755 0.992382
2140.03081 0.993525
2140.06407 0.993919
2140.09733 0.994396
2140.13059 0.99481
2140.16385 0.994918
2140.19711 0.99474
2140.23037 0.99441
2140.26363 0.994449
2140.2969 0.994792
2140.33016 0.994973
2140.36342 0.994902
2140.39669 0.994514
2140.42995 0.994133
2140.46322 0.99444
2140.49649 0.9948
2140.52975 0.994845
2140.56302 0.994656
2140.59629 0.994312
2140.62956 0.994221
2140.66282 0.994622
2140.69609 0.994861
2140.72936 0.994854
2140.76263 0.994755
2140.7959 0.994547
2140.82918 0.994509
2140.86245 0.994459
2140.89572 0.994234
2140.92899 0.994222
2140.96227 0.994257
2140.99554 0.994341
2141.02882 0.994621
2141.06209 0.994914
2141.09537 0.995046
2141.12864 0.995075
2141.16192 0.99505
