# Obtained using Skycalc tool from ESO webpage
# Not including telescope emissivity
Wave[nm] Radiance[photons/s/m**2/micron/arsec**2]
1773.35323 19406.6
1773.70794 160.028
1774.06272 218.628
1774.41756 188.27
1774.77248 152.374
1775.12747 156.052
1775.48253 149.912
1775.83767 183.944
1776.19287 248.898
1776.54814 161.965
1776.90349 893.29
1777.25891 148.177
1777.61439 5124.17
1777.96995 157.571
1778.32558 186.395
1778.68128 271.746
1779.03705 225.135
1779.3929 157.564
1779.74881 152.908
1780.1048 142.645
1780.46085 145.829
1780.81698 153.233
1781.17318 53148.2
1781.52945 190.657
1781.88579 373.766
1782.2422 141.647
1782.59869 151.071
1782.95524 1474.47
1783.31187 407.467
1783.66857 149.284
1784.02534 154.721
1784.38218 218.779
1784.73909 483.934
1785.09607 484.485
1785.45313 555.811
1785.81026 314.814
1786.16745 215.108
1786.52472 159.217
1786.88206 165.497
1787.23947 325.441
1787.59696 174.19
1787.95451 354194
1788.31214 179.334
1788.66984 203.665
1789.02761 374.173
1789.38545 137.462
1789.74336 137.113
1790.10135 139.958
1790.4594 256.263
1790.81753 267.951
1791.17573 173.694
1791.534 252.135
1791.89234 228.65
1792.25076 246.791
1792.60924 299.15
1792.9678 172.032
1793.32643 654.309
1793.68513 262.831
1794.04391 405.432
1794.40275 181.663
1794.76167 165.473
1795.12065 334.911
1795.47971 232.716
1795.83885 165.511
1796.19805 407.577
1796.55733 161.6
1796.91667 519.139
1797.27609 175.104
1797.63558 165.571
1797.99515 332.283
1798.35478 192.886
1798.71449 141.839
1799.07427 145.997
1799.43412 378959
1799.79404 532.186
1800.15404 382.858
1800.5141 593.587
1800.87424 475.164
1801.23445 715.371
1801.59474 425.742
1801.95509 283.96
1802.31552 604.804
1802.67602 573.327
1803.03659 253.758
1803.39723 438.669
1803.75795 404.577
1804.11873 307.79
1804.47959 241.248
1804.84053 242.202
1805.20153 164.254
1805.56261 490.166
1805.92376 517.237
1806.28498 957.692
1806.64627 80131
1807.00763 230.722
1807.36907 645.722
1807.73058 515.76
1808.09216 185.67
1808.45382 329.041
1808.81555 340.543
1809.17735 470.826
1809.53922 247.517
1809.90116 210.031
1810.26318 391.161
1810.62527 747.379
1810.98743 859.508
